EmployerName,DiffMeanHourlyPercent,DiffMedianHourlyPercent,DiffMeanBonusPercent,DiffMedianBonusPercent,MaleBonusPercent,FemaleBonusPercent,PropMaleLowerQuartile,PropFemaleLowerQuartile,PropMaleLowerMiddleQuartile,PropFemaleLowerMiddleQuartile,PropMaleUpperMiddleQuartile,PropFemaleUpperMiddleQuartile,PropMaleTopQuartile,PropFemaleTopQuartile,EmployerSize
J & J Ormerod PLC,2.3,3.2,6,2.4,8,18.3,0.75,0.25,0.857,0.143,0.869,0.131,0.842,0.158,250-499
JOHN REILLY (CIVIL ENGINEERING)  LIMITED,27.8,39.6,72.5,-100,13.7,90.9,0.91,0.09,0.95,0.05,1,0,1,0,250-499
KPPES LTD,11,9,NA,NA,0,0,0.19,0.81,0.29,0.71,0.38,0.62,0.4,0.6,1000-4999
LINCOLNSHIRE HOUSING PARTNERSHIP  LIMITED,4.8,8.4,NA,NA,0,0,0.316,0.684,0.622,0.378,0.485,0.515,0.633,0.367,250-499
LOCAL CARE DIRECT LIMITED,-12.9,-21.9,0.2,-20,88.8,83.3,0.42,0.58,0.61,0.39,0.28,0.72,0.26,0.74,250-499
LOGOPLASTE UK LIMITED,-75,-35,-25,31,12,54,1,0,0.97,0.03,0.95,0.05,0.88,0.12,250-499
LOUVER-LITE LIMITED,5.1,-4.5,62,0,10,11,0.57,0.43,0.77,0.23,0.78,0.22,1,0,250-499
M.P.I. LIMITED,16.4,11.4,76.4,49.9,11,15,0.667,0.333,0.632,0.368,0.696,0.304,0.824,0.176,250-499
MAILWAY PACKAGING SOLUTIONS LIMITED,34,9.5,97.6,7.7,11,4.6,0.46,0.54,0.36,0.64,0.56,0.44,0.71,0.29,250-499
MARATHON SERVICE (G.B.) LIMITED,17.7,13.8,23.9,-19.7,93.9,96.8,0.636,0.364,0.897,0.103,0.846,0.154,0.897,0.103,250-499
MARKS AND SPENCER FINANCIAL SERVICES PLC,13.4,2.3,36.1,18.7,85,89,0.33,0.67,0.24,0.76,0.27,0.73,0.38,0.62,1000-4999
Monzo Bank Limited,19.3,20.4,-18.9,0,13.8,17,0.489,0.511,0.538,0.462,0.526,0.474,0.739,0.261,500-999
MOORCROFT GROUP PUBLIC LIMITED COMPANY,13,-4.5,NA,NA,0,0,0.5,0.5,0.52,0.48,0.39,0.61,0.53,0.47,250-499
NEOVIA LOGISTICS SERVICES (U.K.) LIMITED,4.5,6.1,21.2,27.2,71,54,0.64,0.36,0.62,0.38,0.75,0.25,0.71,0.29,1000-4999
NIFTYLIFT LIMITED,-1.4,-4.6,89.6,79.2,95.6,87.8,0.963,0.037,0.912,0.088,0.89,0.11,0.933,0.067,500-999
Nmb-Minebea UK Ltd,2.7,-11,11.4,0,95.9,98.1,0.85,0.15,0.899,0.101,0.759,0.241,0.825,0.175,250-499
NORTH LANARKSHIRE LEISURE LIMITED,7,6,NA,NA,0,0,0.388,0.612,0.564,0.436,0.55,0.45,0.624,0.376,500-999
North Tyneside Council,7.6,2.2,NA,NA,0,0,0.15,0.85,0.44,0.56,0.29,0.71,0.33,0.67,1000-4999
NORTHERN AUTOMOTIVE SYSTEMS LIMITED,5,0,19,14,62.7,46.9,0.76,0.24,0.83,0.17,0.56,0.44,0.73,0.27,500-999
Ofgem,5.9,7.8,15.9,19.4,56.2,63.8,0.574,0.426,0.466,0.534,0.534,0.466,0.628,0.372,500-999
PACIFIC CARE LIMITED,8.1,2.2,NA,NA,0,0,0.143,0.857,0.132,0.868,0.197,0.803,0.184,0.816,250-499
PGL ENTERPRISES LIMITED,1,7,36,32,7,6,0.52,0.48,0.46,0.54,0.53,0.47,0.52,0.48,500-999
PRINCESS ALICE HOSPICE,-1.1,-3.8,NA,NA,0,0,0.182,0.818,0.145,0.855,0.145,0.855,0.128,0.872,250-499
R E PEOPLE LIMITED,-27,-1,-7,17,3,6,0.65,0.35,0.67,0.33,0.69,0.31,0.66,0.34,500-999
R E PERSONNEL LIMITED,16,3,-97,-3,3,4,0.65,0.35,0.63,0.37,0.56,0.44,0.6,0.4,1000-4999
Ratcliffe College,22,36,24,17,6,7,0.23,0.77,0.35,0.65,0.32,0.68,0.6,0.4,250-499
Reading Borough Council,3,5,46.6,74.5,1.4,1.1,0.34,0.66,0.29,0.71,0.38,0.62,0.35,0.65,1000-4999
RECORD U.K.  LIMITED,18.4,21.9,52,47,61,9,0.61,0.39,0.75,0.25,0.96,0.04,0.88,0.12,250-499
Registers of Scotland,2.1,0,NA,NA,0,0,0.502,0.498,0.491,0.509,0.495,0.505,0.538,0.462,1000-4999
RENAISSANCE RESOURCES LIMITED,1.4,0,NA,NA,0,0,0.5,0.5,0.5,0.5,0.435,0.565,0.458,0.542,0-249
Rhondda Cynon Taf Council,13.3,9,NA,NA,0,0,0.09,0.91,0.21,0.79,0.34,0.66,0.34,0.66,5000-19999
RUSHCLIFFE CARE LIMITED,1,-1.3,NA,NA,0,0,0.18,0.82,0.2,0.8,0.16,0.84,0.29,0.71,500-999
S.D. TAYLOR LIMITED,20,11,12.6,0.8,69.1,48.3,0.32,0.68,0.58,0.42,0.63,0.37,0.63,0.37,250-499
S4E LIMITED,3.8,0,NA,NA,0,0,0.473,0.527,0.382,0.618,0.364,0.636,0.426,0.574,250-499
SAFEHANDS RECRUITMENT LTD,-4,0,NA,NA,0,5,0.22,0.78,0.26,0.74,0.28,0.72,0.26,0.74,250-499
Safran Landing Systems Services UK Ltd,1.6,1.7,12.7,0,92.1,96.2,0.833,0.167,0.909,0.091,0.939,0.061,0.925,0.075,250-499
SCOTTISH HYDRO ELECTRIC POWER DISTRIBUTION PLC,18.2,20.7,45,24.7,20.5,12.7,0.619,0.381,0.781,0.219,0.85,0.15,0.881,0.119,1000-4999
SCOTTISH HYDRO ELECTRIC TRANSMISSION PLC,26.6,32.4,48.8,26,39.9,37.3,0.593,0.407,0.859,0.141,0.929,0.071,0.929,0.071,250-499
SCRIVENS LIMITED,25.3,30,58.3,6.2,56.2,59,0.4,0.6,0.25,0.75,0.14,0.86,0.15,0.85,1000-4999
